"","log2FoldChange","padj","GeneSymbol","significance"
"ENSMUSG00000000531",0.0105865591355026,0.974721163710164,"Tamalin","non-significant"
"ENSMUSG00000000532",-0.588696324566347,0.00450912053132929,"Acvr1b","significant"
"ENSMUSG00000000538",-0.00615307712081849,0.950697222667209,"Tom1l2","non-significant"
"ENSMUSG00000000552",0.321200266987695,0.0382023074365952,"Zfp385a","significant"
"ENSMUSG00000000555",1.08599440571743,4.04700825456717e-09,"Itga5","significant"
"ENSMUSG00000000560",0.0791820319144439,0.967113105403942,"Gabra2","non-significant"
"ENSMUSG00000000561",-0.0464101215350193,0.714942149867518,"Wdr77","non-significant"
"ENSMUSG00000000562",1.34415557172035,0.32001204226718,"Adora3","non-significant"
"ENSMUSG00000000563",-0.175040848518659,0.0240879655345104,"Atp5pb","significant"
"ENSMUSG00000000567",1.80232488574828,2.51220779718862e-12,"Sox9","significant"
"ENSMUSG00000000568",-0.34562920928762,7.99450151709582e-08,"Hnrnpd","significant"
"ENSMUSG00000000579",-0.113390081405963,0.850096797207107,"Dynlt1c","non-significant"
"ENSMUSG00000000581",-0.053616609830088,0.558938091138173,"C1d","non-significant"
"ENSMUSG00000000594",0.289060124155301,0.015933704145885,"Gm2a","significant"
"ENSMUSG00000000600",-0.00502344152064316,0.964170742997944,"Krit1","non-significant"
"ENSMUSG00000000605",-0.351096034367206,8.83285596401249e-08,"Clcn4","significant"
"ENSMUSG00000000627",0.370788725002887,0.711862871934328,"Sema4f","non-significant"
"ENSMUSG00000000628",-0.352337521942884,0.181204337047976,"Hk2","non-significant"
"ENSMUSG00000000631",0.340838587949627,0.0379555920334635,"Myo18a","significant"
"ENSMUSG00000000632",-0.0307527109736885,0.974886140130425,"Sez6","non-significant"
"ENSMUSG00000000673",0.127001465050695,0.887772385254187,"Haao","non-significant"
"ENSMUSG00000000682",0.804333998568299,0.0115121898112266,"Cd52","significant"
"ENSMUSG00000000686",-0.427269684909538,0.423922365330109,"Abhd15","non-significant"
"ENSMUSG00000000690",0.0470435508474365,0.920749797149622,"Hoxb6","non-significant"
"ENSMUSG00000000693",0.212095829083562,0.184627998623592,"Loxl3","non-significant"
"ENSMUSG00000000708",-0.25633681120375,3.60780431088685e-05,"Kat2b","significant"
"ENSMUSG00000000711",-0.283508477615723,1.7675949442432e-10,"Rab5b","significant"
"ENSMUSG00000000730",0.737451106658131,0.770603590039678,"Dnmt3l","non-significant"
"ENSMUSG00000000732",1.17456352674999,2.73881741327924e-10,"Icosl","significant"
"ENSMUSG00000000738",-0.394721439206378,1.48846737873604e-09,"Spg7","significant"
"ENSMUSG00000000739",-0.293842595062059,0.461714064198059,"Sult5a1","non-significant"
"ENSMUSG00000000740",0.0487371230211352,0.747424234112747,"Rpl13","non-significant"
"ENSMUSG00000000743",0.0802401484679861,0.359179239996667,"Chmp1a","non-significant"
"ENSMUSG00000000751",-0.0900451223709469,0.210737905480251,"Rpa1","non-significant"
"ENSMUSG00000000753",0.360857242944451,0.0549509504930561,"Serpinf1","non-significant"
"ENSMUSG00000000759",-0.240885987972378,0.00460978203363094,"Tubgcp3","significant"
"ENSMUSG00000000776",0.0489682183632911,0.71108478049013,"Polr3d","non-significant"
"ENSMUSG00000000782",0.0233507960962334,0.970532953440489,"Tcf7","non-significant"
"ENSMUSG00000000787",-0.238124008305368,0.0502875517074496,"Ddx3x","non-significant"
"ENSMUSG00000000791",2.15475259375154,0.0671407467711579,"Il12rb1","non-significant"
"ENSMUSG00000000792",0.798914776058877,0.369230197700272,"Slc5a5","non-significant"
"ENSMUSG00000000794",1.75072646783324,1.14292035058857e-07,"Kcnn3","significant"
"ENSMUSG00000000804",-0.363519533651208,2.48222226573398e-07,"Usp32","significant"
"ENSMUSG00000000805",-0.391196866778241,0.156992123250008,"Car4","non-significant"
"ENSMUSG00000000811",-0.0435802242119947,0.843953486070007,"Txnrd3","non-significant"
"ENSMUSG00000000817",-1.24481013824302,0.506219756669817,"Fasl","non-significant"
"ENSMUSG00000000823",-0.328417275523943,6.71875621179074e-06,"Zfp512b","significant"
"ENSMUSG00000000826",-0.0272002481608964,0.806597544210605,"Dnajc5","non-significant"
"ENSMUSG00000000827",0.0420101197057594,0.612794070830259,"Tpd52l2","non-significant"
"ENSMUSG00000000838",-0.0690754529859378,0.581881220814769,"Fmr1","non-significant"
"ENSMUSG00000000861",0.0854898349052903,0.938419327688088,"Bcl11a","non-significant"
"ENSMUSG00000000876",0.138490218820053,0.255593403339119,"Pxmp4","non-significant"
"ENSMUSG00000000881",-0.182287622050509,0.426007784593899,"Dlg3","non-significant"
"ENSMUSG00000000884",-0.234410377916656,0.331796855890922,"Gnb1l","non-significant"
"ENSMUSG00000000889",1.90890010073588,0.383538036207769,"Dbh","non-significant"
"ENSMUSG00000000901",0.345605203108869,0.136382356284643,"Mmp11","non-significant"
"ENSMUSG00000000902",0.108180115430851,0.384111450320103,"Smarcb1","non-significant"
"ENSMUSG00000000903",-0.977184606777477,0.507166244983986,"Vpreb3","non-significant"
"ENSMUSG00000000915",-0.0476967953472431,0.809625984958914,"Hip1r","non-significant"
"ENSMUSG00000000916",0.0747834599602876,0.601566364295167,"Nsun5","non-significant"
"ENSMUSG00000000934",-0.232272643877502,0.0331620411334631,"Top1mt","significant"
"ENSMUSG00000000938",-0.126435000323351,0.296263287126256,"Hoxa10","non-significant"
"ENSMUSG00000000942",-0.847883569104961,5.23509271147908e-06,"Hoxa4","significant"
"ENSMUSG00000000957",0.58544497836767,0.0356472719614442,"Mmp14","significant"
"ENSMUSG00000000958",0.225377353129761,0.542011007224559,"Slc7a7","non-significant"
"ENSMUSG00000000959",-0.101346690326055,0.241568289743471,"Oxa1l","non-significant"
"ENSMUSG00000000976",-0.242135650851967,0.00196595456351183,"Heatr6","significant"
"ENSMUSG00000000982",0.449205883908734,0.766172481672773,"Ccl3","non-significant"
"ENSMUSG00000001014",-0.0497029233481856,0.947981899774254,"Icam4","non-significant"
"ENSMUSG00000001016",0.118050982395673,0.100305058465471,"Ilf2","non-significant"
"ENSMUSG00000001017",-0.219588340549173,0.00056473092286365,"Chtop","significant"
"ENSMUSG00000001018",-0.140004539451391,0.00748194878132424,"Snapin","significant"
"ENSMUSG00000001020",1.23032181134256,0.0566133581469426,"S100a4","non-significant"
"ENSMUSG00000001025",1.02445975872746,2.84148393446193e-07,"S100a6","significant"
"ENSMUSG00000001027",-0.725660265939522,2.4256643052077e-15,"Scn4a","significant"
"ENSMUSG00000001029",0.0312604815414479,0.931468745309181,"Icam2","non-significant"
"ENSMUSG00000001034",0.401567954661432,0.0357838680110765,"Mapk7","significant"
"ENSMUSG00000001036",-0.183727764608597,0.0332642548926894,"Epn2","significant"
"ENSMUSG00000001039",0.19890287969572,0.556474356680842,"B9d1","non-significant"
"ENSMUSG00000001052",-0.12342390390186,0.152278171334468,"Sec24b","non-significant"
"ENSMUSG00000001053",-0.208547733528745,0.450235481836325,"N4bp3","non-significant"
"ENSMUSG00000001054",-0.103474520716382,0.332812206595953,"Rmnd5b","non-significant"
"ENSMUSG00000001056",0.0263453556963779,0.906924642683593,"Nhp2","non-significant"
"ENSMUSG00000001062",-0.0981439383992771,0.305857735674873,"Vps9d1","non-significant"
"ENSMUSG00000001065",-0.0506659339076029,0.766845441823394,"Zfp276","non-significant"
