Gene,log2FC_disease,log2FC_treated,log2FC_treated_vs_WT,padj_disease,padj_treated,rescue_metric,rescue_status_fixed,GeneSymbol
ENSMUSG00000021760,1.351623297,-0.262283867,1.08933943,3.46535678244064e-17,0.641334341,19.40510111,Not rescued,Gpx8
ENSMUSG00000021763,1.268063904,0.150128301,1.418192205,0.000158157,0.955220498,-11.8391747,Worsened,Cspg4b
ENSMUSG00000021768,-0.932646187,0.052344021,-0.880302166,5.9205798780912e-07,0.974587149,5.612420038,Not rescued,Dusp13b
ENSMUSG00000021806,0.512282884,0.108858728,0.621141612,0.033327275,0.946354238,-21.24972978,Worsened,Nid2
ENSMUSG00000021815,-2.49416261,0.271040511,-2.223122099,8.82900265564307e-05,0.959004936,10.86699441,Not rescued,Mss51
ENSMUSG00000021816,-0.50323181,0.083637187,-0.419594622,3.26043256472346e-12,0.817914455,16.62001207,Not rescued,Ppp3cb
ENSMUSG00000021876,0.675320562,-0.003410321,0.671910241,9.16386333774649e-07,0.996458036,0.504992926,Not rescued,Rnase4
ENSMUSG00000021877,0.795572208,-0.199053132,0.596519076,1.29639814934794e-31,0.246648675,25.02012136,Not rescued,Arf4
ENSMUSG00000021898,-0.52787523,0.255125041,-0.272750188,7.50059350777091e-11,0.182825118,48.33055751,Partially rescued,Asb14
ENSMUSG00000021913,-0.641237646,-0.16506237,-0.806300016,0.007772385,0.906178454,-25.74121635,Worsened,Ogdhl
ENSMUSG00000021922,1.916980655,0.297252019,2.214232673,0.000336288,0.90795444,-15.50626073,Worsened,Itih4
ENSMUSG00000021950,2.823200247,-0.350235084,2.472965163,3.1284503153532e-22,0.73296953,12.40560546,Not rescued,Anxa8
ENSMUSG00000021973,0.601988118,-0.119337105,0.482651013,5.32949926871919e-22,0.590389775,19.82383066,Not rescued,Micu2
ENSMUSG00000021983,0.809323676,0.020075241,0.829398917,0.001514334,0.989845415,-2.480495997,Worsened,Atp8a2
ENSMUSG00000021991,0.834029022,-0.168789364,0.665239657,0.029494109,0.945696691,20.23782867,Not rescued,Cacna2d3
