"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030220","GO:0030220","platelet formation","5/376","24/28832",0.208333333333333,15.9751773049645,8.43641410666653,1.27292364507102e-05,0.00182823658523325,0.00154481566925944,"22388/545486/12978/56760/106722",5
"GO:0036344","GO:0036344","platelet morphogenesis","5/376","26/28832",0.192307692307692,14.746317512275,8.06061941471787,1.92820513577928e-05,0.00265860924121247,0.00224646046766369,"22388/545486/12978/56760/106722",5
"GO:0032868","GO:0032868","response to insulin","16/376","356/28832",0.0449438202247191,3.44633038489123,5.3387239561827,2.08184423092696e-05,0.0027600450246174,0.00233217124978741,"23921/20393/12978/19662/21934/13841/20525/19713/18479/18416/26457/22229/19268/209039/14537/384783",16
"GO:1903034","GO:1903034","regulation of response to wounding","11/376","177/28832",0.0621468926553672,4.76547661978603,5.77621342498009,2.27115822714445e-05,0.00289951200332108,0.00245001747154335,"11818/71753/27279/19123/11689/11905/14068/19268/18816/14723/385643",11
"GO:0031652","GO:0031652","positive regulation of heat generation","4/376","14/28832",0.285714285714286,21.9088145896656,8.99494185345886,2.56945894817291e-05,0.00316318749798287,0.00267281688330619,"21934/26457/268860/12774",4
"GO:0006520","GO:0006520","amino acid metabolic process","14/376","287/28832",0.0487804878048781,3.74052932018682,5.36348693377656,2.79604711127285e-05,0.00332343944570949,0.00280822590086823,"14711/192166/15233/209027/15112/56720/242669/14085/18416/237320/12012/216456/268860/11898",14
"GO:0006869","GO:0006869","lipid transport","18/376","456/28832",0.0394736842105263,3.02687569988802,5.01499840243002,3.60605718777967e-05,0.00414335970875885,0.00350103868020574,"11818/75089/76408/11307/19662/68039/21934/20525/26457/64008/22038/22229/66943/384783/235283/103161/14366/12895",18
"GO:0061045","GO:0061045","negative regulation of wound healing","7/376","71/28832",0.0985915492957746,7.56008390770153,6.3617035437207,3.93905468478265e-05,0.004379974676918,0.00370097260196727,"11818/71753/19123/11689/18816/14723/385643",7
"GO:0030195","GO:0030195","negative regulation of blood coagulation","6/376","49/28832",0.122448979591837,9.38949196699957,6.75620040255382,4.11749219195862e-05,0.00443531112052542,0.00374773055761496,"11818/71753/19123/18816/14723/385643",6
"GO:0009084","GO:0009084","glutamine family amino acid biosynthetic process","4/376","16/28832",0.25,19.1702127659574,8.3567999476223,4.57619750852373e-05,0.00469193572158535,0.00396457213492333,"209027/18416/216456/11898",4
"GO:1900047","GO:1900047","negative regulation of hemostasis","6/376","50/28832",0.12,9.20170212765957,6.6721432127296,4.62796096704096e-05,0.00469193572158535,0.00396457213492333,"11818/71753/19123/18816/14723/385643",6
"GO:0001666","GO:0001666","response to hypoxia","15/376","342/28832",0.043859649122807,3.3631952220978,5.05362808861442,4.95862142539125e-05,0.00488353372952104,0.00412646781475417,"170770/11826/18654/20856/15567/171210/66214/12362/20525/18479/14068/12955/22229/14366/268860",15
"GO:0050819","GO:0050819","negative regulation of coagulation","6/376","51/28832",0.117647058823529,9.02127659574468,6.59041085602854,5.1878571536097e-05,0.00496737322458129,0.00419731015907545,"11818/71753/19123/18816/14723/385643",6
"GO:0072329","GO:0072329","monocarboxylic acid catabolic process","9/376","131/28832",0.0687022900763359,5.26815007308754,5.62812408936896,5.79391200229464e-05,0.00537259040253886,0.0045397088677645,"16890/235674/15112/14085/14073/102448/384783/56690/12895",9
"GO:0031650","GO:0031650","regulation of heat generation","4/376","17/28832",0.235294117647059,18.0425531914894,8.07954038921887,5.92278605443796e-05,0.00537259040253886,0.0045397088677645,"21934/26457/268860/12774",4
"GO:0000038","GO:0000038","very long-chain fatty acid metabolic process","5/376","34/28832",0.147058823529412,11.2765957446809,6.89198648406032,7.48698457020342e-05,0.00658449431816465,0.00556373834710933,"235674/171210/12686/170439/30963",5
"GO:0015850","GO:0015850","organic hydroxy compound transport","14/376","315/28832",0.0444444444444444,3.4080378250591,4.93973342864663,7.64084052006342e-05,0.00658449431816465,0.00556373834710933,"11826/15567/76408/20519/11307/19662/68039/64008/235283/16490/103161/27062/268860/226844",14
"GO:0010876","GO:0010876","lipid localization","18/376","485/28832",0.0371134020618557,2.84588725597719,4.71258653811852,7.93643742868945e-05,0.00667241458943721,0.00563802884857092,"11818/75089/76408/11307/19662/68039/21934/20525/26457/64008/22038/22229/66943/384783/235283/103161/14366/12895",18
"GO:0009063","GO:0009063","amino acid catabolic process","8/376","107/28832",0.0747663551401869,5.73314774309008,5.63830779858432,8.23655267548592e-05,0.00675985644580951,0.00571191510101993,"192166/15233/56720/14085/18416/237320/216456/268860",8
"GO:0045765","GO:0045765","regulation of angiogenesis","14/376","320/28832",0.04375,3.35478723404255,4.86911094342957,9.02756447105062e-05,0.00723674761202593,0.00611487659520124,"11818/18053/11826/18654/15586/30955/66214/27279/11689/70584/243912/18707/13051/11489",14
"GO:0170044","GO:0170044","non-proteinogenic amino acid catabolic process","4/376","19/28832",0.210526315789474,16.1433370660694,7.58998643008208,9.44865467193905e-05,0.00740216196685771,0.00625464772183142,"192166/18416/237320/268860",4
"GO:0170033","GO:0170033","L-amino acid metabolic process","10/376","174/28832",0.0574712643678161,4.40694546343849,5.18147868651421,0.000102522569051387,0.00785322878933621,0.00663578827053068,"14711/15233/209027/56720/242669/14085/18416/237320/216456/11898",10
"GO:1901342","GO:1901342","regulation of vasculature development","14/376","327/28832",0.0428134556574924,3.28297221680005,4.77255376209504,0.000113342824569438,0.00849331991936638,0.00717664978452255,"11818/18053/11826/18654/15586/30955/66214/27279/11689/70584/243912/18707/13051/11489",14
"GO:0007584","GO:0007584","response to nutrient","10/376","180/28832",0.0555555555555556,4.26004728132388,5.04335488926436,0.00013554781030802,0.00994113408790947,0.0084000177183044,"12162/20856/15567/11905/18416/14068/22229/16008/56690/11898",10
"GO:0036293","GO:0036293","response to decreased oxygen levels","15/376","378/28832",0.0396825396825397,3.04289091523134,4.59574859264556,0.000150473584326395,0.0108058842744392,0.0091307106980512,"170770/11826/18654/20856/15567/171210/66214/12362/20525/18479/14068/12955/22229/14366/268860",15
"GO:0006525","GO:0006525","arginine metabolic process","4/376","22/28832",0.181818181818182,13.9419729206963,6.98034756436312,0.000172890254064616,0.0121623001175659,0.0102768492587925,"242669/14085/18416/11898",4
"GO:0050878","GO:0050878","regulation of body fluid levels","15/376","384/28832",0.0390625,2.99534574468085,4.52475169226802,0.000178453800050648,0.0123026049754917,0.0103954034682135,"11818/11826/545486/71753/15567/19123/11905/54368/109246/14068/18816/14723/385643/106722/243816",15
"GO:0032102","GO:0032102","negative regulation of response to external stimulus","16/376","429/28832",0.0372960372960373,2.85989188116848,4.4613992225122,0.000185441645077454,0.0125336735408232,0.0105906508138145,"11818/11433/71753/109934/19123/11689/100340/18816/333654/231712/13024/432940/14723/13051/385643/434341",16
"GO:0006631","GO:0006631","fatty acid metabolic process","17/376","477/28832",0.0356394129979036,2.73286052009456,4.38676955175789,0.000201227798183526,0.0131887145678053,0.0111441446289275,"16890/235674/76267/171210/11689/15112/21391/26457/22229/14073/12686/384783/12012/170439/30963/56690/12895",17
"GO:0042730","GO:0042730","fibrinolysis","4/376","23/28832",0.173913043478261,13.3358001850139,6.80305530771143,0.000207143782689016,0.0131887145678053,0.0111441446289275,"11818/71753/18816/14723",4
"GO:0007173","GO:0007173","epidermal growth factor receptor signaling pathway","9/376","155/28832",0.0580645161290323,4.45243651338366,4.95406318623428,0.000209542794899165,0.0131887145678053,0.0111441446289275,"12978/67845/13841/13874/19713/52614/19268/71920/100042150",9
"GO:0006865","GO:0006865","amino acid transport","10/376","190/28832",0.0526315789473684,4.03583426651736,4.82603023460797,0.00021043785936446,0.0131887145678053,0.0111441446289275,"20511/70008/12298/114644/68267/15567/12934/229706/18479/268860",10
"GO:0006986","GO:0006986","response to unfolded protein","8/376","123/28832",0.0650406504065041,4.98737242691576,5.09409657144043,0.000217351034009788,0.0133787323969954,0.0113047050959602,"20856/69065/29810/69310/208647/80888/70551/231630",8
"GO:1901606","GO:1901606","alpha-amino acid catabolic process","7/376","94/28832",0.074468085106383,5.71027614305115,5.25797933232561,0.000234732616661964,0.0141951461339262,0.0119945549455892,"192166/15233/56720/14085/18416/237320/216456",7
"GO:0098597","GO:0098597","observational learning","3/376","10/28832",0.3,23.0042553191489,7.99984307603338,0.000246663479133112,0.0146594657339972,0.0123868937706229,"114142/18479/18190",3
"GO:0046461","GO:0046461","neutral lipid catabolic process","5/376","44/28832",0.113636363636364,8.7137330754352,5.88602425242413,0.000262619414642051,0.0150874853711858,0.0127485600055185,"11818/16890/30955/67758/14073",5
"GO:0046464","GO:0046464","acylglycerol catabolic process","5/376","44/28832",0.113636363636364,8.7137330754352,5.88602425242413,0.000262619414642051,0.0150874853711858,0.0127485600055185,"11818/16890/30955/67758/14073",5
"GO:1903035","GO:1903035","negative regulation of response to wounding","7/376","96/28832",0.0729166666666667,5.59131205673759,5.17959877905439,0.000267334290439182,0.0151065786744895,0.0127646933847319,"11818/71753/19123/11689/18816/14723/385643",7
"GO:0009064","GO:0009064","glutamine family amino acid metabolic process","6/376","69/28832",0.0869565217391304,6.66790009250694,5.41834295776291,0.000283625524748662,0.0157686642549781,0.0133241396770721,"209027/242669/14085/18416/216456/11898",6
"GO:0140354","GO:0140354","lipid import into cell","4/376","25/28832",0.16,12.2689361702128,6.47948899244534,0.000289890476098476,0.0158611503351023,0.013402288176516,"19662/20525/26457/384783",4
"GO:0008652","GO:0008652","amino acid biosynthetic process","6/376","71/28832",0.0845070422535211,6.48007192088702,5.31435168352384,0.000331537819588881,0.0178564197519199,0.0150882425460926,"209027/15112/18416/216456/268860/11898",6
"GO:0048511","GO:0048511","rhythmic process","14/376","364/28832",0.0384615384615385,2.94926350245499,4.30209121149188,0.000340038948776418,0.0180325270220356,0.0152370489273579,"18053/217082/15567/12362/21934/13874/14068/57746/21847/13123/16490/14366/13170/11898",14
"GO:0015911","GO:0015911","long-chain fatty acid import across plasma membrane","3/376","12/28832",0.25,19.1702127659574,7.23669879692544,0.000443523653087542,0.0231097860801171,0.0195272099563874,"20525/26457/384783",3
"GO:0030258","GO:0030258","lipid modification","10/376","209/28832",0.0478468899521531,3.66894024228851,4.45134512077934,0.000449189343593805,0.0231097860801171,0.0195272099563874,"235674/110197/20975/11689/15112/234515/384783/13112/56690/12895",10
