"","log2FoldChange","padj","GeneSymbol","significance"
"ENSMUSG00000000531",0.125249352214177,0.651691128705311,"Tamalin","non-significant"
"ENSMUSG00000000532",-0.751080806104144,0.00016785743590823,"Acvr1b","significant"
"ENSMUSG00000000538",0.0455212392397349,0.585654042512188,"Tom1l2","non-significant"
"ENSMUSG00000000552",0.697784667297892,5.50882742131446e-07,"Zfp385a","significant"
"ENSMUSG00000000555",0.651877409513751,0.000781540256143699,"Itga5","significant"
"ENSMUSG00000000560",0.593485853369374,0.741950567436723,"Gabra2","non-significant"
"ENSMUSG00000000561",-0.0299544942723011,0.833061889420131,"Wdr77","non-significant"
"ENSMUSG00000000562",0.922385677694162,0.559318466713774,"Adora3","non-significant"
"ENSMUSG00000000563",-0.132578414932912,0.109982714493807,"Atp5pb","non-significant"
"ENSMUSG00000000567",1.76286410811099,5.06620908455735e-12,"Sox9","significant"
"ENSMUSG00000000568",-0.420483234800686,2.73696427530354e-11,"Hnrnpd","significant"
"ENSMUSG00000000579",0.253604209929511,0.642319996446651,"Dynlt1c","non-significant"
"ENSMUSG00000000581",0.0127611513597722,0.912470653122946,"C1d","non-significant"
"ENSMUSG00000000594",0.412431602640657,0.00026530318570502,"Gm2a","significant"
"ENSMUSG00000000600",-0.0520066661414331,0.562857978159246,"Krit1","non-significant"
"ENSMUSG00000000605",-0.361361202334578,3.32371926848738e-08,"Clcn4","significant"
"ENSMUSG00000000627",0.968965836784073,0.288666657520891,"Sema4f","non-significant"
"ENSMUSG00000000628",-0.475332603627729,0.0566468201604691,"Hk2","non-significant"
"ENSMUSG00000000631",-0.17595793068614,0.365183042352276,"Myo18a","non-significant"
"ENSMUSG00000000632",-0.271203593300446,0.743239217394591,"Sez6","non-significant"
"ENSMUSG00000000673",0.449783019929521,0.663593485014472,"Haao","non-significant"
"ENSMUSG00000000682",2.27893943908991,1.72347455540712e-12,"Cd52","significant"
"ENSMUSG00000000686",-0.295792195871191,0.588496811835781,"Abhd15","non-significant"
"ENSMUSG00000000690",0.00274707263012939,0.995777950240781,"Hoxb6","non-significant"
"ENSMUSG00000000693",0.3818940308907,0.00377788069577655,"Loxl3","significant"
"ENSMUSG00000000708",-0.258979686822313,2.96059034653461e-05,"Kat2b","significant"
"ENSMUSG00000000711",-0.237393764302281,1.43262876242171e-07,"Rab5b","significant"
"ENSMUSG00000000730",0.644571154418922,0.737309512707567,"Dnmt3l","non-significant"
"ENSMUSG00000000732",0.873670371556765,5.89358391815683e-06,"Icosl","significant"
"ENSMUSG00000000738",-0.460727016045999,9.40403828384863e-13,"Spg7","significant"
"ENSMUSG00000000739",0.120216095358228,0.804806158671923,"Sult5a1","non-significant"
"ENSMUSG00000000740",0.0466680745296322,0.773767809762188,"Rpl13","non-significant"
"ENSMUSG00000000743",0.00707041565525409,0.95202954959812,"Chmp1a","non-significant"
"ENSMUSG00000000751",-0.0838861770818791,0.257933329997125,"Rpa1","non-significant"
"ENSMUSG00000000753",0.513567166282303,0.00365288353603949,"Serpinf1","significant"
"ENSMUSG00000000759",-0.310948548494381,0.000122233334210031,"Tubgcp3","significant"
"ENSMUSG00000000776",0.130331403669329,0.244673485219528,"Polr3d","non-significant"
"ENSMUSG00000000782",0.107457165876319,0.85923120146909,"Tcf7","non-significant"
"ENSMUSG00000000787",-0.405436103585509,0.000270645366872451,"Ddx3x","significant"
"ENSMUSG00000000791",4.44769142080535,0.00174450854173065,"Il12rb1","significant"
"ENSMUSG00000000792",1.53134043415249,0.045047085754484,"Slc5a5","significant"
"ENSMUSG00000000794",1.2137431645829,0.000453536685801367,"Kcnn3","significant"
"ENSMUSG00000000804",-0.125052548122444,0.144251267063539,"Usp32","non-significant"
"ENSMUSG00000000805",-0.540368110330199,0.0324517067034746,"Car4","significant"
"ENSMUSG00000000811",0.487228071732729,0.000801551029279008,"Txnrd3","significant"
"ENSMUSG00000000817",1.49086371097198,0.535522168357322,"Fasl","non-significant"
"ENSMUSG00000000823",-0.351228506056885,1.24834764666303e-06,"Zfp512b","significant"
"ENSMUSG00000000826",-0.00391594065558161,0.97534216412969,"Dnajc5","non-significant"
"ENSMUSG00000000827",0.101719164733554,0.145835173356153,"Tpd52l2","non-significant"
"ENSMUSG00000000838",-0.142256540962814,0.1883202306194,"Fmr1","non-significant"
"ENSMUSG00000000861",0.369793099619859,0.739956565241841,"Bcl11a","non-significant"
"ENSMUSG00000000876",0.0971933321025448,0.467061048449681,"Pxmp4","non-significant"
"ENSMUSG00000000881",-0.257488926968786,0.213682626910601,"Dlg3","non-significant"
"ENSMUSG00000000884",-0.466086046862135,0.0323812149770232,"Gnb1l","significant"
"ENSMUSG00000000889",3.67747954615769,0.0533770804852842,"Dbh","non-significant"
"ENSMUSG00000000901",0.026030667644383,0.938132527185073,"Mmp11","non-significant"
"ENSMUSG00000000902",0.0522493767658838,0.727548004663169,"Smarcb1","non-significant"
"ENSMUSG00000000903",0.253705421507187,0.88605965134681,"Vpreb3","non-significant"
"ENSMUSG00000000915",0.0918465081132759,0.619853459958596,"Hip1r","non-significant"
"ENSMUSG00000000916",0.0530860716033936,0.738018009622893,"Nsun5","non-significant"
"ENSMUSG00000000934",-0.216658005206092,0.052580902374635,"Top1mt","non-significant"
"ENSMUSG00000000938",-0.331064851110824,0.00110033019620944,"Hoxa10","significant"
"ENSMUSG00000000942",-0.246315500343004,0.275544807197158,"Hoxa4","non-significant"
"ENSMUSG00000000957",0.656373061228947,0.0172400693592719,"Mmp14","significant"
"ENSMUSG00000000958",0.635671349948243,0.0254206105846889,"Slc7a7","significant"
"ENSMUSG00000000959",-0.0861091311902084,0.350608956769525,"Oxa1l","non-significant"
"ENSMUSG00000000976",-0.236238419939473,0.0026126706925534,"Heatr6","significant"
"ENSMUSG00000000982",3.16970768228824,0.0374726694096654,"Ccl3","significant"
"ENSMUSG00000001014",-0.28373419844417,0.685857454505762,"Icam4","non-significant"
"ENSMUSG00000001016",0.0268160508646964,0.790571257151028,"Ilf2","non-significant"
"ENSMUSG00000001017",-0.1075092470187,0.144660208305725,"Chtop","non-significant"
"ENSMUSG00000001018",-0.067172338443832,0.278909001008396,"Snapin","non-significant"
"ENSMUSG00000001020",3.26542367924282,0.000499997234250257,"S100a4","significant"
"ENSMUSG00000001025",1.16333198378844,3.95094156284597e-09,"S100a6","significant"
"ENSMUSG00000001027",-0.705901303108316,1.63306163569681e-14,"Scn4a","significant"
"ENSMUSG00000001029",-0.0831662684015694,0.814083563548712,"Icam2","non-significant"
"ENSMUSG00000001034",0.495343358161884,0.00693429694809061,"Mapk7","significant"
"ENSMUSG00000001036",-0.205324358522902,0.0147873865264715,"Epn2","significant"
"ENSMUSG00000001039",-0.141740110197848,0.698746856251504,"B9d1","non-significant"
"ENSMUSG00000001052",-0.111315182019584,0.212043893673135,"Sec24b","non-significant"
"ENSMUSG00000001053",-0.247131462843514,0.35478709336563,"N4bp3","non-significant"
"ENSMUSG00000001054",-0.00575517321768642,0.969403146363817,"Rmnd5b","non-significant"
"ENSMUSG00000001056",0.148493736625649,0.405968964874502,"Nhp2","non-significant"
"ENSMUSG00000001062",-0.0595517298535546,0.590313827621952,"Vps9d1","non-significant"
"ENSMUSG00000001065",-0.0616350355492953,0.723516531658499,"Zfp276","non-significant"
"ENSMUSG00000001082",0.650537475174937,0.00106826935595259,"Mfsd10","significant"
"ENSMUSG00000001089",-0.266248309110725,0.0183329619646685,"Luzp1","significant"
"ENSMUSG00000001098",-0.0755043002503051,0.724874775803206,"Kctd10","non-significant"
"ENSMUSG00000001100",-0.041403162726657,0.537789796473252,"Poldip2","non-significant"
"ENSMUSG00000001103",-0.558290829350432,0.826818351107379,"Sebox","non-significant"
"ENSMUSG00000001105",0.388612387755949,0.00218579226464328,"Ift20","significant"
"ENSMUSG00000001119",0.865507316098986,4.31741285674606e-06,"Col6a1","significant"
"ENSMUSG00000001120",0.163188661047039,0.593131309671138,"Pcbp3","non-significant"
"ENSMUSG00000001123",0.702088636165907,4.96772140450207e-08,"Lgals9","significant"
"ENSMUSG00000001127",-0.12100759893071,0.0198168854330514,"Araf","significant"
"ENSMUSG00000001128",1.09062645958475,5.50552879273677e-12,"Cfp","significant"
"ENSMUSG00000001131",2.55689534351444,3.67526659495759e-11,"Timp1","significant"
"ENSMUSG00000001134",-0.0262058854570038,0.892065556361087,"Uxt","non-significant"
"ENSMUSG00000001138",-0.351332022766495,0.000337199966639463,"Cnnm3","significant"
"ENSMUSG00000001143",-0.194815438680973,0.0897023236966472,"Lman2l","non-significant"
"ENSMUSG00000001150",-0.352736544771692,1.1760796514178e-06,"Mcm3ap","significant"
"ENSMUSG00000001151",-0.365143595141326,0.00649002027170842,"Pcnt","significant"
"ENSMUSG00000001155",0.496437267686771,0.894409113007419,"Ftcd","non-significant"
"ENSMUSG00000001156",-0.045362010663597,0.863851711604026,"Mxd1","non-significant"
"ENSMUSG00000001157",0.190252852585699,0.230772792526271,"Gmcl1","non-significant"
"ENSMUSG00000001158",-0.0513595330244111,0.68004306492662,"Snrnp27","non-significant"
"ENSMUSG00000001166",0.596269857818418,0.324389178933941,"Oas1c","non-significant"
"ENSMUSG00000001173",-0.469350270724629,0.000412800285523177,"Ocrl","significant"
"ENSMUSG00000001175",-0.483078676927406,4.1719302879851e-08,"Calm1","significant"
"ENSMUSG00000001211",-0.424573756103796,1.71089269214202e-13,"Agpat3","significant"
"ENSMUSG00000001227",0.042744925890717,0.912747821101327,"Sema6b","non-significant"
"ENSMUSG00000001228",1.25935346976845,0.0126664490601862,"Uhrf1","significant"
"ENSMUSG00000001229",-0.133881080342461,0.103385908021296,"Dpp9","non-significant"
"ENSMUSG00000001240",0.110909845942291,0.724637399812659,"Ramp2","non-significant"
"ENSMUSG00000001247",0.608593624255387,0.151962891177795,"Lsr","non-significant"
"ENSMUSG00000001248",-0.0857409514321033,0.635647949218048,"Gramd1a","non-significant"
"ENSMUSG00000001249",0.638994231749465,0.00167365086709994,"Hpn","significant"
"ENSMUSG00000001260",0.699431573190881,0.734554766743162,"Gabrg1","non-significant"
"ENSMUSG00000001270",0.530813683698676,0.020992628656146,"Ckb","significant"
"ENSMUSG00000001280",-0.0370784081771684,0.768725923329353,"Sp1","non-significant"
"ENSMUSG00000001281",0.630097221272848,0.109397638109428,"Itgb7","non-significant"
"ENSMUSG00000001285",-0.0310517260402354,0.860838507850658,"Myg1","non-significant"
"ENSMUSG00000001288",0.253007733361473,0.312614619317866,"Rarg","non-significant"
"ENSMUSG00000001289",0.0405224998375464,0.763642112194243,"Pfdn5","non-significant"
"ENSMUSG00000001300",-0.414091826729364,0.0238412392217116,"Efnb2","significant"
"ENSMUSG00000001305",-0.00365147820599993,0.985053349094692,"Rrp15","non-significant"
"ENSMUSG00000001313",0.593737820487666,0.00456596975813182,"Rnd2","significant"
"ENSMUSG00000001323",-0.271237308089525,0.00562485589979724,"Srr","significant"
"ENSMUSG00000001333",0.420055615674923,7.10236785933486e-08,"Sync","significant"
"ENSMUSG00000001334",-0.494796681912112,0.000307000148266965,"Fndc5","significant"
"ENSMUSG00000001348",0.152434806739075,0.90501591441154,"Acp5","non-significant"
"ENSMUSG00000001349",-0.188653121602784,0.719758672932541,"Cnn1","non-significant"
"ENSMUSG00000001366",-0.288436023488739,0.00161319624447121,"Fbxo9","significant"
"ENSMUSG00000001376",-0.0806321322015686,0.355722084058373,"Vps50","non-significant"
"ENSMUSG00000001380",0.248707350837111,0.000107827951486801,"Hars1","significant"
"ENSMUSG00000001383",0.0541355356879561,0.685826327541776,"Zmat2","non-significant"
"ENSMUSG00000001403",-0.12297223610022,0.667970615067175,"Ube2c","non-significant"
"ENSMUSG00000001415",-0.156744793368734,0.153688851290384,"Smg5","non-significant"
"ENSMUSG00000001416",0.235640844132244,0.00506160219549844,"Cct3","significant"
"ENSMUSG00000001418",0.0181344665720842,0.901109923685374,"Glmp","non-significant"
"ENSMUSG00000001419",-0.246312137380123,6.3952035942079e-06,"Mef2d","significant"
"ENSMUSG00000001420",-0.0501130184425124,0.872574917991395,"Tmem79","non-significant"
"ENSMUSG00000001424",1.12283225629562,8.00022388964974e-34,"Snd1","significant"
"ENSMUSG00000001435",0.377586421362734,0.0781799007782961,"Col18a1","non-significant"
"ENSMUSG00000001436",0.125873770790375,0.433882078914227,"Slc19a1","non-significant"
"ENSMUSG00000001440",0.110550827186362,0.152205296967373,"Kpnb1","non-significant"
"ENSMUSG00000001441",-0.0196166897579459,0.860838507850658,"Npepps","non-significant"
"ENSMUSG00000001444",0.765521451296121,0.117577984446753,"Tbx21","non-significant"
"ENSMUSG00000001445",-0.107526012986406,0.174181078085875,"Mrpl10","non-significant"
"ENSMUSG00000001467",0.354600259657732,0.0428970936957146,"Cyp51","significant"
"ENSMUSG00000001472",-0.172740607681843,0.0566751802652829,"Tcf25","non-significant"
"ENSMUSG00000001473",1.89902427154295,2.18585253143126e-07,"Tubb6","significant"
"ENSMUSG00000001482",-0.222270346699614,7.5554902500039e-05,"Def8","significant"
"ENSMUSG00000001493",0.64577161920129,0.0844079922662651,"Meox1","non-significant"
"ENSMUSG00000001497",0.461598100237128,0.496335630262225,"Pax9","non-significant"
"ENSMUSG00000001504",0.428127763999518,0.849035930733487,"Irx2","non-significant"
"ENSMUSG00000001506",0.837561239338833,0.0518217868809812,"Col1a1","non-significant"
"ENSMUSG00000001507",0.0419547541233562,0.833358991763523,"Itga3","non-significant"
"ENSMUSG00000001508",-0.227924791403625,0.000233760370716157,"Sgca","significant"
"ENSMUSG00000001517",1.9030712139497,0.000163990773172123,"Foxm1","significant"
"ENSMUSG00000001518",-0.18516942886755,0.076908315487284,"Itfg2","non-significant"
"ENSMUSG00000001520",0.107187677109366,0.784522354894095,"Nrip2","non-significant"
"ENSMUSG00000001521",0.223644165547728,0.226564510412784,"Tulp3","non-significant"
"ENSMUSG00000001524",-0.116443106423375,0.463032323867116,"Gtf2h4","non-significant"
"ENSMUSG00000001525",0.894061571474035,1.327904283366e-11,"Tubb5","significant"
"ENSMUSG00000001542",-0.197940970189788,0.419032011273651,"Ell2","non-significant"
"ENSMUSG00000001552",-0.0461330730728932,0.822430014546201,"Jup","non-significant"
"ENSMUSG00000001555",0.912316764897353,7.22985908040837e-06,"Fkbp10","significant"
"ENSMUSG00000001558",1.0761654772853,0.0570336289027952,"Klhl10","non-significant"
"ENSMUSG00000001569",-0.00379511387212403,0.974237671951334,"Nom1","non-significant"
"ENSMUSG00000001576",0.251172435005001,2.03429760437606e-06,"Ergic1","significant"
"ENSMUSG00000001583",0.0189040245599105,0.992888196696688,"Tnk1","non-significant"
"ENSMUSG00000001588",0.637411784388058,0.280722250558005,"Acap1","non-significant"
"ENSMUSG00000001604",-0.305644784478263,1.17252379903785e-06,"Tcea3","significant"
"ENSMUSG00000001627",-0.00752688087234542,0.990287600032972,"Ifrd1","non-significant"
"ENSMUSG00000001630",-0.0513175561292255,0.669705966434584,"Stk38l","non-significant"
"ENSMUSG00000001632",-0.211097353738352,0.0267192755675141,"Brpf1","significant"
"ENSMUSG00000001642",-0.1107607830548,0.0786806402612034,"Akr1b1","non-significant"
"ENSMUSG00000001655",4.11763155554189,0.0118038524899055,"Hoxc13","significant"
