Gene,log2FC_disease,log2FC_treated,log2FC_treated_vs_WT,padj_disease,padj_treated,rescue_metric,rescue_status_fixed,GeneSymbol
ENSMUSG00000020792,-0.598793688,-0.028534741,-0.627328429,2.13142704654517e-05,1,-4.765371106,Worsened,Exoc7
ENSMUSG00000020821,-0.623240378,-0.01973041,-0.642970788,2.12395393750571e-24,1,-3.165778596,Worsened,Kif1c
ENSMUSG00000020838,-1.625592058,0.505079272,-1.120512786,0.018242531,1,31.07048102,Partially rescued,Slc6a4
ENSMUSG00000020847,-1.046211234,-0.013550163,-1.059761397,1.06846545453008e-11,1,-1.295165148,Worsened,Rph3al
ENSMUSG00000020865,1.014410002,-0.355431861,0.658978141,0.022114589,1,35.03828434,Partially rescued,Abcc3
ENSMUSG00000020866,1.125718363,-0.033153458,1.092564905,6.36507753065129e-05,1,2.945093475,Not rescued,Cacna1g
ENSMUSG00000020873,0.558983878,-0.101928555,0.457055323,1.46190156551588e-12,1,18.23461447,Not rescued,Slc35b1
ENSMUSG00000020897,1.875612354,-0.215099099,1.660513254,0.009268955,1,11.46820659,Not rescued,Aurkb
ENSMUSG00000020900,1.168225352,-0.314175483,0.854049869,2.32114396601174e-12,1,26.89339712,Not rescued,Myh10
ENSMUSG00000020901,1.050626532,0.105640054,1.156266586,3.08406233444016e-05,1,-10.05495776,Worsened,Pik3r5
ENSMUSG00000020908,4.165310188,-0.385603921,3.779706268,2.54347128876942e-28,1,9.257507922,Not rescued,Myh3
ENSMUSG00000020914,2.361980481,0.421865085,2.783845566,2.95262592210392e-06,1,-17.86065075,Worsened,Top2a
ENSMUSG00000020919,-0.826733002,0.072058838,-0.754674164,4.29678795121816e-12,1,8.716095501,Not rescued,Stat5b
ENSMUSG00000020945,4.4904503,-0.411608408,4.078841892,0.00470207,1,9.166305844,Not rescued,Lyzl6
ENSMUSG00000020974,1.978754452,0.146121185,2.124875637,0.000226343,1,-7.384503142,Worsened,Pole2
ENSMUSG00000021027,-0.649040326,-0.007528279,-0.656568606,3.31668741600306e-09,1,-1.159909327,Worsened,Ralgapa1
ENSMUSG00000021062,1.312464597,-0.314836231,0.997628366,0.000128569,1,23.9881694,Not rescued,Rab15
ENSMUSG00000021071,3.277171586,1.01341242,4.290584006,0.031381895,1,-30.92338602,Worsened,Trim9
ENSMUSG00000021091,1.492752354,-0.246889399,1.245862955,1.71571634906067e-06,1,16.5392068,Not rescued,Serpina3n
ENSMUSG00000021123,1.290653635,-0.102990432,1.187663203,0.002133248,1,7.979711123,Not rescued,Rdh12
ENSMUSG00000021180,-1.133452727,0.085161654,-1.048291073,4.8163420796099e-11,1,7.513472048,Not rescued,Rps6ka5
ENSMUSG00000021185,-0.909123987,-0.097347543,-1.00647153,6.46691405998129e-06,1,-10.70784012,Worsened,Dglucy
ENSMUSG00000021190,0.841383755,-0.062303773,0.779079982,2.21306005184745e-12,1,7.404917513,Not rescued,Lgmn
ENSMUSG00000021196,0.868403872,-0.037354577,0.831049294,1.11326731226416e-05,1,4.301521266,Not rescued,Pfkp
ENSMUSG00000021213,3.533795481,0.298905912,3.832701393,0.000114818,1,-8.45849493,Worsened,Akr1c13
ENSMUSG00000021215,0.860195117,-0.084997565,0.775197552,0.000603198,1,9.88119596,Not rescued,Net1
ENSMUSG00000021223,-0.750341203,-0.176922035,-0.927263238,0.014040541,1,-23.57887778,Worsened,Papln
ENSMUSG00000021226,-0.52410923,0.476008245,-0.048100985,0.026044251,1,90.8223358,Rescued,Acot2
ENSMUSG00000021255,-0.713432339,-0.142653602,-0.85608594,0.000238014,1,-19.99539325,Worsened,Esrrb
ENSMUSG00000021256,0.700147095,0.02633651,0.726483606,9.81701515571795e-06,1,-3.761568199,Worsened,Vash1
ENSMUSG00000021258,-1.203762634,-0.003787387,-1.207550021,8.89763027100974e-42,1,-0.314629018,Worsened,Ccnk
ENSMUSG00000021270,0.790434972,-0.015617888,0.774817084,0.026837109,1,1.975859888,Not rescued,Hsp90aa1
ENSMUSG00000021273,-0.565951285,0.162195583,-0.403755702,9.72151726049203e-06,1,28.65893004,Not rescued,Fdft1
ENSMUSG00000021280,2.083491467,0.134706192,2.218197659,2.05855435509442e-19,1,-6.465406462,Worsened,Exoc3l4
ENSMUSG00000021281,0.510538043,0.193549186,0.704087228,0.049030757,1,-37.91082532,Worsened,Tnfaip2
ENSMUSG00000021311,-0.822266142,-0.007141443,-0.829407585,7.40308515975772e-13,1,-0.86850751,Worsened,Mtr
ENSMUSG00000021319,1.653585866,-0.076381104,1.577204762,0.002382376,1,4.619119314,Not rescued,Sfrp4
ENSMUSG00000021379,0.802180003,0.27192477,1.074104773,0.017562027,1,-33.89822349,Worsened,Id4
ENSMUSG00000021388,1.032297332,-0.09755639,0.934740941,1.34655183120645e-05,1,9.450415831,Not rescued,Aspn
ENSMUSG00000021423,1.428638646,0.026281293,1.454919939,1.4374183401982e-05,1,-1.839603932,Worsened,Ly86
