"","log2FoldChange","padj","GeneSymbol","significance"
"ENSMUSG00000000600",-0.018940264229876,0.972721340184633,"Krit1","non-significant"
"ENSMUSG00000000605",0.0522680295565584,0.89365231604907,"Clcn4","non-significant"
"ENSMUSG00000000628",-0.398193692679637,0.607064758537866,"Hk2","non-significant"
"ENSMUSG00000000631",0.0143457082041045,0.989944319013175,"Myo18a","non-significant"
"ENSMUSG00000000632",-0.272442227913398,0.948636685489224,"Sez6","non-significant"
"ENSMUSG00000000682",0.157271937714555,0.940248846426332,"Cd52","non-significant"
"ENSMUSG00000000686",0.196625981364369,0.947102724361435,"Abhd15","non-significant"
"ENSMUSG00000000690",-0.251761141482604,0.866848174163374,"Hoxb6","non-significant"
"ENSMUSG00000000693",-0.106151695836791,0.872438306818569,"Loxl3","non-significant"
"ENSMUSG00000000708",0.00615293783457635,0.989944319013175,"Kat2b","non-significant"
"ENSMUSG00000000711",0.0607568562186026,0.767457665068117,"Rab5b","non-significant"
"ENSMUSG00000000732",-0.449350600443277,0.375598694045455,"Icosl","non-significant"
"ENSMUSG00000000738",0.0631293245114827,0.871323735336378,"Spg7","non-significant"
"ENSMUSG00000000739",-0.0471838740777476,0.984089192735064,"Sult5a1","non-significant"
"ENSMUSG00000000740",-0.205235013041997,0.51085098264365,"Rpl13","non-significant"
"ENSMUSG00000000743",-0.0872248958599678,0.784768384089368,"Chmp1a","non-significant"
"ENSMUSG00000000751",0.0784997303422933,0.765732854401512,"Rpa1","non-significant"
"ENSMUSG00000000753",-0.227781806690185,0.755282905543338,"Serpinf1","non-significant"
"ENSMUSG00000000759",0.0963295403771338,0.802858363208093,"Tubgcp3","non-significant"
"ENSMUSG00000000776",-0.0851230405258366,0.87060064404217,"Polr3d","non-significant"
"ENSMUSG00000000782",-0.00567709735301528,0.997460325812506,"Tcf7","non-significant"
"ENSMUSG00000000787",0.114768680633869,0.845011522339529,"Ddx3x","non-significant"
"ENSMUSG00000000794",0.0944525846070244,0.974390689476328,"Kcnn3","non-significant"
"ENSMUSG00000000804",0.0275217171194778,0.964389961119476,"Usp32","non-significant"
"ENSMUSG00000000805",0.356201970495179,0.687256923341835,"Car4","non-significant"
