"","log2FoldChange","padj","GeneSymbol","significance"
"ENSMUSG00000000531",0.309900505184877,1,"Tamalin","non-significant"
"ENSMUSG00000000532",0.014282760051113,1,"Acvr1b","non-significant"
"ENSMUSG00000000538",-0.0534690739489676,1,"Tom1l2","non-significant"
"ENSMUSG00000000544",-0.0699579913160995,1,"Gpa33","non-significant"
"ENSMUSG00000000552",0.195531188031695,1,"Zfp385a","non-significant"
"ENSMUSG00000000555",-0.0394582737767791,1,"Itga5","non-significant"
"ENSMUSG00000000560",-0.604397510293673,1,"Gabra2","non-significant"
"ENSMUSG00000000561",0.104678563123244,1,"Wdr77","non-significant"
"ENSMUSG00000000562",-0.624914505927434,1,"Adora3","non-significant"
"ENSMUSG00000000563",0.0615448845094629,1,"Atp5pb","non-significant"
"ENSMUSG00000000567",-0.219037824570935,1,"Sox9","non-significant"
"ENSMUSG00000000568",0.0392862911078596,1,"Hnrnpd","non-significant"
"ENSMUSG00000000579",-0.359430285154733,1,"Dynlt1c","non-significant"
"ENSMUSG00000000581",0.0307803714656672,1,"C1d","non-significant"
"ENSMUSG00000000594",0.0587309579111859,1,"Gm2a","non-significant"
"ENSMUSG00000000600",-0.00541073650886566,1,"Krit1","non-significant"
"ENSMUSG00000000605",0.00637686178673743,1,"Clcn4","non-significant"
"ENSMUSG00000000606",0,1,"Vmn2r88","non-significant"
"ENSMUSG00000000617",0.950211856907935,1,"Grm6","non-significant"
"ENSMUSG00000000627",0.266211634901305,1,"Sema4f","non-significant"
"ENSMUSG00000000628",-0.195856815034456,1,"Hk2","non-significant"
"ENSMUSG00000000631",-0.320219470841086,1,"Myo18a","non-significant"
"ENSMUSG00000000632",0.114572800010715,1,"Sez6","non-significant"
"ENSMUSG00000000673",-0.619042916726846,1,"Haao","non-significant"
"ENSMUSG00000000682",0.0693327273711907,1,"Cd52","non-significant"
"ENSMUSG00000000686",0.560349997333622,1,"Abhd15","non-significant"
"ENSMUSG00000000690",0.130636040095679,1,"Hoxb6","non-significant"
"ENSMUSG00000000693",-0.0277301402338179,1,"Loxl3","non-significant"
"ENSMUSG00000000706",1.9708640433531,1,"Btn1a1","non-significant"
"ENSMUSG00000000708",0.0306749208972097,1,"Kat2b","non-significant"
"ENSMUSG00000000711",0.0048941500566895,1,"Rab5b","non-significant"
"ENSMUSG00000000724",0,1,"Cryba1","non-significant"
"ENSMUSG00000000730",1.32262640427877,1,"Dnmt3l","non-significant"
"ENSMUSG00000000731",0,1,"Aire","non-significant"
"ENSMUSG00000000732",-0.76335529334805,0.123699641344413,"Icosl","non-significant"
"ENSMUSG00000000738",0.060994919952114,1,"Spg7","non-significant"
"ENSMUSG00000000739",0.19335327429914,1,"Sult5a1","non-significant"
"ENSMUSG00000000740",0.137897898130756,1,"Rpl13","non-significant"
"ENSMUSG00000000743",0.0365786091263752,1,"Chmp1a","non-significant"
"ENSMUSG00000000751",0.0335478316871213,1,"Rpa1","non-significant"
"ENSMUSG00000000753",0.0531261450720614,1,"Serpinf1","non-significant"
"ENSMUSG00000000759",-0.0746423319152328,1,"Tubgcp3","non-significant"
"ENSMUSG00000000766",0.692850608372959,1,"Oprm1","non-significant"
"ENSMUSG00000000776",-0.0751610320250662,1,"Polr3d","non-significant"
"ENSMUSG00000000782",0.0495446786764576,1,"Tcf7","non-significant"
"ENSMUSG00000000787",-0.133798023529336,1,"Ddx3x","non-significant"
"ENSMUSG00000000791",-0.479477701331769,1,"Il12rb1","non-significant"
"ENSMUSG00000000792",0.163603763927074,1,"Slc5a5","non-significant"
"ENSMUSG00000000794",-0.184109313057898,1,"Kcnn3","non-significant"
"ENSMUSG00000000804",-0.0923978882140694,1,"Usp32","non-significant"
"ENSMUSG00000000805",-0.00535913688611981,1,"Car4","non-significant"
"ENSMUSG00000000811",0.101540538838475,1,"Txnrd3","non-significant"
"ENSMUSG00000000817",1.68958393040397,1,"Fasl","non-significant"
"ENSMUSG00000000823",0.00849972080910549,1,"Zfp512b","non-significant"
"ENSMUSG00000000826",-0.037082143654328,1,"Dnajc5","non-significant"
"ENSMUSG00000000827",-0.0337145857201405,1,"Tpd52l2","non-significant"
"ENSMUSG00000000838",0.103100203471677,1,"Fmr1","non-significant"
"ENSMUSG00000000861",0.269813978683735,1,"Bcl11a","non-significant"
"ENSMUSG00000000869",-0.629740631957279,1,"Il4","non-significant"
"ENSMUSG00000000876",0.110435346814474,1,"Pxmp4","non-significant"
"ENSMUSG00000000881",0.0258284594159534,1,"Dlg3","non-significant"
"ENSMUSG00000000884",0.0867292628539942,1,"Gnb1l","non-significant"
"ENSMUSG00000000889",-2.18225377800283,1,"Dbh","non-significant"
"ENSMUSG00000000901",0.00612725618302048,1,"Mmp11","non-significant"
"ENSMUSG00000000902",0.00657903329497243,1,"Smarcb1","non-significant"
"ENSMUSG00000000903",1.19030534770523,1,"Vpreb3","non-significant"
"ENSMUSG00000000915",-0.0422867224453593,1,"Hip1r","non-significant"
"ENSMUSG00000000916",0.0262530670473295,1,"Nsun5","non-significant"
"ENSMUSG00000000934",-0.050527830754763,1,"Top1mt","non-significant"
"ENSMUSG00000000938",-0.0190833184002156,1,"Hoxa10","non-significant"
"ENSMUSG00000000942",0.368579134034185,1,"Hoxa4","non-significant"
"ENSMUSG00000000957",0.0623263424976697,1,"Mmp14","non-significant"
"ENSMUSG00000000958",0.262268856708016,1,"Slc7a7","non-significant"
"ENSMUSG00000000959",0.0121750901889454,1,"Oxa1l","non-significant"
"ENSMUSG00000000976",-0.0745309703132435,1,"Heatr6","non-significant"
"ENSMUSG00000000982",0.167670665111843,1,"Ccl3","non-significant"
"ENSMUSG00000000983",0,1,"Wfdc18","non-significant"
"ENSMUSG00000001014",-0.248288544550014,1,"Icam4","non-significant"
"ENSMUSG00000001016",0.00749323038507888,1,"Ilf2","non-significant"
"ENSMUSG00000001017",0.0187320176218756,1,"Chtop","non-significant"
"ENSMUSG00000001018",0.0543990950967889,1,"Snapin","non-significant"
"ENSMUSG00000001020",-0.00523795062599349,1,"S100a4","non-significant"
"ENSMUSG00000001021",-0.701567418244354,1,"S100a3","non-significant"
"ENSMUSG00000001023",-0.0284616435367022,1,"S100a5","non-significant"
"ENSMUSG00000001025",0.200636255314209,1,"S100a6","non-significant"
"ENSMUSG00000001027",-0.045516244624938,1,"Scn4a","non-significant"
"ENSMUSG00000001029",-0.068477535149881,1,"Icam2","non-significant"
"ENSMUSG00000001034",0.0124377479710506,1,"Mapk7","non-significant"
"ENSMUSG00000001036",-0.0436112071357025,1,"Epn2","non-significant"
"ENSMUSG00000001039",0.0180629878750686,1,"B9d1","non-significant"
"ENSMUSG00000001052",-0.079772116500951,1,"Sec24b","non-significant"
"ENSMUSG00000001053",0.00259580151705902,1,"N4bp3","non-significant"
"ENSMUSG00000001054",-0.0488883896602455,1,"Rmnd5b","non-significant"
